id_cliente,cliente,correo,telefono
cl1047,Jose Rivas 47,cliente4720@empresa.com,74782536
cl1048,Marta Hernandez 48,cliente4878@correo.sv,74851546
cl1049,Ana Gomez 49,cliente4947@outlook.com,73596541
cl1050,Jorge Rivas 50,cliente5069gmail.com,76769487
cl1051,Lucia Perez 51,cliente5179correo.sv,78462628
cl1052,Luis Santos 52,cliente5220@outlook.com,76374111
cl1053,Carmen Rivera 53,cliente5343@outlook.com,+503 71062764
cl1054,Marta Mejia 54,cliente5490@correo.sv,78822425-
cl1055,Paola Morales 55,cliente5572@outlook.com,76650121
cl1056,Ana Ramirez 56,cliente5640@outlook.com,78619124
cl1057,Marta Rivera 57,cliente5726@correo.sv,71908598
cl1058,Carmen Romero 58,cliente5862@empresa.com,74983480
cl1059,Carmen Guerrero 59,cliente5961@correo.sv,71383408
cl1060,Luis Romero 60,cliente6060@empresa.com,75354039
cl1061,Carlos Ramirez 61,cliente6156@empresa.com,73236003
cl1062,Jose Martinez 62,cliente6211correo.sv,75544360
cl1063,Paola Vasquez 63,cliente6360@gmail.com,74059172
cl1064,Carlos Cruz 64,cliente6479@empresa.com,79246516
cl1065,Jorge Flores 65,cliente6549@outlook.com,74058523
cl1066,Diego Perez 66,cliente6630@gmail.com,73670802
cl1067,Valeria Santos 67,cliente6721@correo.sv,75059296
cl1068,Elena Hernandez 68,cliente6866@correo.sv,79903500
cl1069,Carmen Hernandez 69,cliente6987@empresa.com,73102129
cl1070,Fernando Martinez 70,cliente7078@outlook.com,73903770
cl1071,Paola Rivera 71,cliente7138@outlook.com,75639049
cl1072,Ana Flores 72,cliente7267@outlook.com,77732877
cl1073,Luis Ramirez 73,cliente7390@correo.sv,78959321
cl1074,Andres Gomez 74,cliente7495@gmail.com,71944270
cl1075,Luis Romero 75,cliente7575@correo.sv,77403446
cl1076,Camila Mejia 76,cliente7671@gmail.com,78036041
cl1078,Jose Rivas 78,cliente7889@outlook.com,76453467
cl1079,Valeria Gomez 79,cliente7922empresa.com,73266981
cl1080,Carlos Martinez 80,cliente8090@outlook.com,72259308
cl1081,Carmen Ramirez 81,cliente8118@empresa.com,74895460
cl1082,Sofia Perez 82,cliente8254@outlook.com,78351095
cl1083,Marta Mendoza 83,cliente8321@correo.sv,76069668
cl1085,Lucia Rivera 85,cliente8579@outlook.com,77147792
cl1086,Valeria Torres 86,cliente8638outlook.com,73817539
cl1087,Paola Reyes 87,cliente8776@gmail.com,78003634
cl1088,Paola Hernandez 88,cliente8897@empresa.com,75660174
cl1089,Ana Perez 89,cliente8999@outlook.com,78671833
cl1090,Daniela Ramirez 90,cliente9079@correo.sv,79075552
cl1091,Andres Mejia 91,cliente914@outlook.com,71675779
cl1092,Daniela Gomez 92,cliente9221@empresa.com,+503 71929073
cl1093,Fernando Vasquez 93,cliente9380@outlook.com,75012614
cl1095,Ana Mendoza 95,cliente9513@outlook.com,78789724
cl1096,Marta Cruz 96,cliente966@empresa.com,78181018
cl1097,Elena Rivera 97,cliente9728@gmail.com,74843131
cl1098,Paola Perez 98,cliente9823@correo.sv,72726981
cl1099,Jorge Morales 99,cliente9956@outlook.com,79683806
cl1101,Luis Mendoza 101,cliente10178@outlook.com,71683242
cl1102,Luis Perez 102,cliente10284@gmail.com,77265676
cl1103,Maria Guerrero 103,cliente10354@outlook.com,73202233
cl1104,Elena Romero 104,cliente10431@empresa.com,74238390
cl1106,Daniela Hernandez 106,cliente10698@outlook.com,71333405
cl1107,Ricardo Perez 107,cliente10775@empresa.com,72106131
cl1108,Diego Ramirez 108,cliente10895@correo.sv,72214715
cl1109,Andres Gomez 109,cliente1093@correo.sv,79564754
cl1110,Camila Reyes 110,cliente11040@correo.sv,79457963
cl1111,Ricardo Reyes 111,cliente11156@outlook.com,+503 79057779
cl1112,Camila Morales 112,cliente11273@outlook.com,79330666
cl1113,Pedro Mejia 113,correo_invalido,75883188
cl1114,Valeria Castro 114,cliente11439@correo.sv,74216458
cl1115,Pedro Guerrero 115,cliente11565@outlook.com,76440685
cl1116,Jose Vasquez 116,cliente11687@outlook.com,77581403
cl1117,Maria Martinez 117,cliente11721@outlook.com,74335450
cl1118,Andres Ramirez 118,cliente11830@correo.sv,79663416
cl1119,Elena Martinez 119,cliente11996@gmail.com,74582467
cl1120,Sofia Ramirez 120,cliente12013@empresa.com,74229097
cl1121,Jose Rivas 121,cliente12181@outlook.com,71585714
cl1122,Jose Santos 122,cliente12290@gmail.com,79669302
cl1123,Ricardo Reyes 123,cliente12364@correo.sv,74254075
cl1124,Jose Guerrero 124,cliente12430@outlook.com,76021634
cl1125,Andres Lopez 125,cliente12580@correo.sv,75691576
cl1126,Camila Ramirez 126,cliente12692@gmail.com,+503 78892920
cl1127,Lucia Mendoza 127,cliente12735@empresa.com,75813994
cl1128,Andres Cruz 128,cliente12872@empresa.com,73297887
cl1129,Ricardo Hernandez 129,cliente12935@outlook.com,77561387
cl1130,Valeria Guerrero 130,cliente13020@outlook.com,76381255
cl1131,Diego Morales 131,cliente13125@gmail.com,73120416
cl1132,Luis Romero 132,cliente13285@gmail.com,75148397
cl1133,Valeria Hernandez 133,cliente13353@empresa.com,73560687
cl1134,Pedro Cruz 134,cliente13463@gmail.com,72291683
cl1135,Fernando Lopez 135,cliente13524@correo.sv,77243091
cl1136,Maria Martinez 136,cliente13642@gmail.com,74902768
cl1137,Elena Mendoza 137,cliente13756@empresa.com,77119806
cl1138,Pedro Vasquez 138,cliente13813@correo.sv,72784362
cl1139,Paola Santos 139,cliente13982@gmail.com,78348820
